episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
83,450.0,388,52692,0.2,0.07023374832321688,171.3510567919875,True,False
84,520.0,453,53145,0.2,0.07803329859604746,173.79378170898417,True,False
85,490.0,504,53649,0.2,0.08127543937769674,175.257494666992,True,False
86,280.0,347,53996,0.2,0.0722621439624278,176.2876119169814,True,False
87,660.0,594,54590,0.2,0.08519910293555744,179.15852783399168,True,False
88,1060.0,1019,55609,0.2,0.07633323495951938,182.23511770900222,True,False
89,1150.0,1299,56908,0.2,0.08203948567119929,187.02833266698872,True,False
90,650.0,707,57615,0.2,0.07636880361877213,190.83720566699049,True,False
91,380.0,492,58107,0.2,0.0709620630822894,192.25088041697745,True,False
92,430.0,545,58652,0.2,0.08256571452017791,193.931781124993,True,False
93,1190.0,820,59472,0.2,0.07120675129316202,197.3372772919829,True,False
94,880.0,661,60133,0.2,0.08092893275121847,201.44138829197618,True,False
95,560.0,582,60715,0.2,0.07040479023266455,203.20806166698458,True,False
96,650.0,673,61388,0.2,0.08166527937127817,205.1999769169779,True,False
97,300.0,465,61853,0.2,0.08994429118545919,207.68959420899046,True,False
98,520.0,570,62423,0.2,0.08504481397201898,209.92259595898213,True,False
99,1500.0,863,63286,0.2,0.07998205631695411,213.15209179199883,True,False
100,1070.0,657,63943,0.2,0.08591569174739827,215.47955104199355,True,False
